time,bestAskPrice,bestAskVolume,askTotalVolume,bestBidPrice,bestBidVolume,bidTotalVolume,lastTradePrice
0,0.00,0,0,0.00,0,0,100.00
1,102.45,1,4,101.59,1,2,102.16
2,104.24,1,3,103.72,1,6,103.77
3,104.92,1,5,104.82,1,8,104.98
4,104.85,1,5,104.74,1,10,104.76
5,104.67,1,8,104.48,1,9,104.57
6,104.74,1,6,104.62,1,12,104.67
7,104.60,1,7,104.42,1,11,104.64
8,104.42,1,9,104.29,1,9,104.31
9,104.36,1,12,104.21,1,8,104.26
10,104.29,2,16,104.10,1,5,104.11
11,103.70,1,17,103.37,1,7,103.30
12,104.09,1,19,103.88,1,10,103.99
13,104.28,1,23,104.19,1,11,104.20
14,103.99,1,25,103.64,1,9,103.88
15,103.32,1,29,102.98,1,8,103.46
16,103.89,1,27,103.27,1,12,103.88
17,103.91,1,27,103.79,1,18,103.65
18,104.35,1,20,104.15,1,20,104.32
19,104.32,1,23,104.14,1,23,104.31
20,104.42,5,21,104.27,1,23,104.37
21,104.42,1,18,103.99,1,22,104.17
22,104.34,1,20,104.19,2,26,104.33
23,104.58,1,18,104.46,1,28,104.58
24,104.67,2,16,104.47,1,33,104.38
25,104.87,1,10,104.67,1,35,104.83
26,104.69,1,8,104.67,1,37,104.68
27,104.89,1,8,104.85,1,38,105.03
28,104.97,1,9,104.91,1,41,104.93
29,105.19,2,9,104.73,1,39,104.81
30,105.26,1,10,105.13,1,46,105.16
31,105.07,1,10,105.02,1,47,105.04
32,105.28,1,9,105.24,1,48,105.27
33,105.35,1,5,105.20,1,52,105.31
34,105.57,1,5,105.49,1,58,105.54
35,106.02,1,4,105.99,1,61,105.83
36,106.19,1,4,106.09,1,67,106.09
37,107.43,1,2,106.29,1,72,106.43
38,107.05,1,3,106.69,1,73,106.71
39,106.39,1,6,106.15,1,74,106.18
40,106.39,1,7,106.09,2,73,106.26
41,106.29,1,7,106.14,1,78,106.26
42,106.55,1,8,106.13,1,78,106.14
43,106.59,1,10,106.55,1,82,106.56
44,106.64,1,11,106.61,1,85,106.36
45,106.67,1,9,106.44,1,83,106.48
46,106.83,2,9,106.52,1,84,106.58
47,106.64,1,10,106.60,1,87,106.80
48,106.87,1,8,106.75,1,90,106.77
49,106.64,1,12,106.47,1,86,106.60
50,106.50,1,17,106.12,1,78,106.13
51,106.22,1,22,106.01,1,72,106.01
52,106.05,1,24,106.00,1,72,105.99
53,106.00,1,31,105.84,1,65,105.85
54,106.04,2,33,105.90,1,65,105.93
55,105.60,1,38,105.41,1,59,105.55
56,105.51,1,43,105.31,1,56,105.34
57,105.20,1,46,105.11,1,53,105.16
58,104.95,1,51,104.86,1,51,104.92
59,104.83,1,54,104.71,1,48,104.79
60,104.78,1,59,104.50,1,40,104.74
61,104.49,1,68,104.38,2,37,104.45
62,104.36,1,73,104.19,1,32,104.45
63,104.14,1,81,103.93,1,23,103.96
64,103.84,2,85,103.74,1,20,103.80
65,103.52,1,89,103.40,1,14,103.58
66,102.98,1,94,102.90,1,8,102.98
67,103.01,1,98,102.85,1,7,102.85
68,101.57,1,106,101.30,1,2,101.77
69,101.57,1,106,0.00,0,0,100.99
70,101.81,2,103,0.00,0,0,101.75
71,102.32,1,100,102.09,1,2,102.21
72,103.23,1,95,0.00,0,0,103.17
73,102.23,1,96,0.00,0,0,103.25
74,102.46,1,95,0.00,0,0,102.87
75,103.48,1,91,0.00,0,0,103.42
76,103.19,1,88,0.00,0,0,103.65
77,103.84,1,87,0.00,0,0,103.19
78,103.84,1,87,0.00,0,0,103.13
79,102.67,1,90,0.00,0,0,103.13
80,102.43,1,93,0.00,0,0,102.33
81,102.43,1,93,0.00,0,0,102.34
82,101.56,1,95,0.00,0,0,102.21
83,101.23,1,98,0.00,0,0,102.21
84,101.48,1,97,0.00,0,0,100.55
85,101.15,1,98,0.00,0,0,100.70
86,100.09,1,100,0.00,0,0,100.70
87,101.48,1,97,0.00,0,0,101.15
88,101.83,1,94,0.00,0,0,101.75
89,102.67,1,94,0.00,0,0,101.80
90,102.62,1,94,0.00,0,0,101.99
91,100.99,1,96,0.00,0,0,101.99
92,100.06,1,97,0.00,0,0,100.99
93,101.18,1,97,0.00,0,0,101.09
94,101.40,1,96,0.00,0,0,100.38
95,102.62,1,94,0.00,0,0,101.53
96,101.52,1,95,0.00,0,0,100.76
97,100.27,1,98,0.00,0,0,100.71
98,101.52,1,95,0.00,0,0,101.28
99,102.62,1,94,0.00,0,0,101.52
100,102.62,1,94,0.00,0,0,102.52
101,102.01,1,95,0.00,0,0,101.16
102,102.70,2,95,0.00,0,0,102.62
103,101.40,1,96,0.00,0,0,101.80
104,102.23,1,96,101.26,1,1,101.95
105,101.78,1,97,0.00,0,0,101.47
106,100.79,1,100,0.00,0,0,101.47
107,100.79,1,102,0.00,0,0,100.42
108,101.06,1,102,0.00,0,0,100.99
109,100.99,1,101,0.00,0,0,101.13
110,100.43,1,102,0.00,0,0,100.99
111,101.27,1,100,0.00,0,0,100.12
112,101.27,1,100,0.00,0,0,100.16
113,101.27,1,101,100.78,1,2,100.32
114,101.27,1,101,0.00,0,0,100.57
115,101.27,1,101,101.21,1,1,100.75
116,100.68,1,103,0.00,0,0,100.80
117,100.60,1,104,0.00,0,0,100.47
118,100.42,1,105,0.00,0,0,100.60
119,99.86,1,106,0.00,0,0,100.60
120,99.86,1,107,0.00,0,0,100.60
121,99.26,1,107,0.00,0,0,99.86
122,99.26,1,109,0.00,0,0,99.86
123,99.12,1,111,0.00,0,0,99.86
124,98.08,1,112,0.00,0,0,98.03
125,99.26,1,111,0.00,0,0,97.57
126,97.39,1,115,0.00,0,0,97.63
127,98.41,1,112,0.00,0,0,98.11
128,98.51,1,112,0.00,0,0,98.29
129,99.26,1,111,0.00,0,0,98.63
130,99.26,1,111,0.00,0,0,99.18
131,98.34,1,114,0.00,0,0,99.18
132,97.87,1,112,0.00,0,0,98.67
133,97.87,1,113,0.00,0,0,96.89
134,97.87,1,113,0.00,0,0,97.77
135,98.12,1,112,0.00,0,0,97.84
136,97.01,1,116,0.00,0,0,97.81
