time,bestAskPrice,bestAskVolume,askTotalVolume,bestBidPrice,bestBidVolume,bidTotalVolume,lastTradePrice
0,0.00,0,0,0.00,0,0,100.00
1,107.46,1,1,0.00,0,0,93.83
2,91.28,1,2,0.00,0,0,107.46
3,108.11,1,1,0.00,0,0,92.29
4,102.07,1,1,0.00,0,0,105.95
5,103.54,1,2,0.00,0,0,104.11
6,103.48,1,2,0.00,0,0,103.46
7,104.65,1,1,0.00,0,0,91.60
8,101.37,1,2,92.39,1,2,98.35
9,98.08,1,3,93.52,1,3,94.40
10,101.37,1,2,99.74,1,13,98.08
11,99.50,1,8,99.09,1,15,99.48
12,97.75,1,14,97.51,1,12,97.73
13,97.82,1,15,97.73,1,17,97.78
14,97.99,1,14,97.74,1,19,97.94
15,98.30,1,13,98.17,1,21,98.07
16,98.44,1,15,98.22,1,23,98.34
17,98.36,1,18,98.05,1,21,98.14
18,97.64,1,22,97.57,1,19,98.05
19,97.82,1,22,97.65,1,22,97.71
20,97.95,1,23,97.62,1,22,97.95
21,97.80,1,25,97.48,1,20,97.50
22,97.91,1,24,97.77,1,23,97.78
23,98.11,1,22,97.65,1,23,97.72
24,97.78,1,24,97.53,1,23,97.69
25,98.02,1,24,97.94,1,27,98.04
26,98.01,1,21,97.60,1,25,97.78
27,98.55,1,15,98.12,1,29,98.27
28,99.50,1,9,98.63,1,30,99.15
29,99.12,1,9,98.49,1,31,98.57
30,98.78,1,11,98.61,1,33,98.77
31,99.25,1,8,99.02,1,38,99.04
32,100.12,1,5,100.02,1,42,99.98
33,100.14,1,6,99.90,1,42,99.92
34,100.37,1,5,99.93,1,43,100.02
35,100.86,1,5,99.93,1,45,100.35
36,100.74,1,6,100.28,1,47,100.41
37,101.18,1,4,100.55,1,48,100.86
38,100.67,1,5,100.43,1,49,100.28
39,100.57,1,7,100.13,1,46,100.15
40,100.21,1,8,99.71,1,42,99.76
41,100.69,1,7,100.38,1,45,100.57
42,100.67,1,7,100.57,1,51,100.59
43,100.76,1,6,100.43,1,51,100.45
44,100.38,1,13,100.27,1,44,100.29
45,100.57,2,10,100.45,1,49,100.55
46,100.87,1,7,100.60,1,53,100.69
47,101.02,2,5,100.87,1,61,100.99
48,102.99,1,2,101.18,1,63,101.60
49,0.00,0,0,100.79,1,62,100.80
50,0.00,0,0,100.79,1,62,101.42
51,0.00,0,0,100.93,1,64,100.84
52,0.00,0,0,100.66,1,59,100.67
53,0.00,0,0,100.56,1,55,100.60
54,0.00,0,0,100.49,1,52,100.50
55,0.00,0,0,100.47,1,51,100.49
56,0.00,0,0,100.37,1,52,100.47
57,0.00,0,0,100.31,1,50,100.34
58,0.00,0,0,100.07,1,48,100.25
59,0.00,0,0,99.91,1,45,100.00
60,0.00,0,0,99.91,1,45,100.12
61,0.00,0,0,99.66,1,43,99.71
62,0.00,0,0,99.45,1,39,99.73
63,0.00,0,0,99.78,1,40,100.39
64,0.00,0,0,99.45,1,39,99.78
65,0.00,0,0,98.75,1,35,98.76
66,98.50,1,2,98.32,2,34,98.37
67,0.00,0,0,98.21,1,32,98.31
68,0.00,0,0,98.65,1,30,98.18
69,0.00,0,0,98.16,1,30,99.07
70,0.00,0,0,97.53,1,27,97.60
71,0.00,0,0,97.38,2,23,97.39
72,0.00,0,0,97.28,2,19,97.29
73,0.00,0,0,97.36,1,14,97.05
74,97.33,1,1,96.97,1,13,97.02
75,0.00,0,0,96.53,1,11,96.88
76,0.00,0,0,96.53,1,11,97.37
77,0.00,0,0,96.50,1,10,96.53
78,0.00,0,0,97.52,1,11,96.84
79,0.00,0,0,95.79,1,6,96.27
80,0.00,0,0,94.88,1,4,94.97
81,0.00,0,0,94.93,1,4,95.38
82,0.00,0,0,93.52,1,3,94.93
83,0.00,0,0,94.30,1,5,94.99
84,95.24,1,2,94.91,1,7,96.54
85,0.00,0,0,96.65,1,12,96.19
86,0.00,0,0,96.05,1,10,96.40
87,0.00,0,0,95.61,1,10,95.52
88,0.00,0,0,95.61,1,10,96.45
89,0.00,0,0,95.31,1,8,95.43
90,0.00,0,0,94.91,1,7,96.13
91,0.00,0,0,94.93,1,8,95.82
92,95.55,1,1,94.93,1,8,95.82
93,0.00,0,0,95.20,1,10,95.15
