time,price
0,100.00
201,100.49
1201,99.86
1801,99.86
2001,99.54
2001,99.86
2001,99.86
2001,99.86
2201,99.86
2801,99.86
3001,99.86
3001,99.86
3001,99.60
3001,99.29
3001,99.22
3001,99.17
3401,99.81
3601,99.41
4001,99.45
4801,99.45
5001,99.68
5001,99.81
5001,99.86
5001,99.71
5001,101.47
5001,99.45
5001,99.48
5001,100.51
5001,100.16
5001,100.85
5001,101.06
5001,101.01
5001,100.03
5001,100.31
5001,100.39
5001,100.38
5001,99.89
5001,99.45
5001,99.45
5001,99.45
5001,100.10
5001,98.85
5001,98.61
5001,98.73
5001,98.58
5001,98.78
5001,98.74
5001,98.95
5001,99.03
5001,99.42
5001,99.45
5001,99.45
5001,99.45
5001,100.11
5001,100.11
5001,98.99
5001,99.39
5001,99.92
5001,100.01
5201,102.15
5401,102.20
5601,102.20
5601,99.22
5601,102.20
5801,102.20
6001,101.58
6001,99.93
6001,102.20
6201,99.07
6401,98.32
6601,98.32
6801,98.32
6801,98.32
7001,98.09
7401,98.09
7601,98.00
7601,97.97
7801,97.89
8001,98.18
8001,98.18
8201,98.18
8401,98.18
8601,98.18
8801,98.18
9001,97.97
9001,97.96
9201,97.88
9401,98.05
9601,98.05
9801,98.18
9801,98.32
9801,98.35
9801,98.24
9801,98.05
9801,98.07
9801,98.08
9801,102.78
9801,102.82
9801,102.98
9801,99.25
9801,102.85
9801,98.75
9801,98.76
9801,102.20
9801,102.74
9801,102.24
9801,98.49
9801,98.97
9801,99.14
9801,98.49
9801,98.67
9801,98.53
9801,98.39
9801,98.47
9801,98.40
11201,102.10
11401,102.10
11401,102.10
11401,102.10
11401,102.10
11401,97.28
11401,102.10
11401,102.10
11401,102.10
11401,102.10
11401,97.38
11401,97.35
11401,97.29
11401,97.55
11401,97.32
11401,101.44
11401,98.05
11401,97.48
11401,97.40
11401,97.45
11401,102.10
11401,97.73
11401,97.57
11401,102.10
11401,101.47
11401,101.97
11401,102.10
11401,102.10
11401,102.10
11801,96.73
12201,96.73
12801,96.73
12801,96.73
12801,96.73
12801,96.49
12801,96.48
12801,96.50
12801,96.73
12801,96.73
12801,96.73
12801,96.73
12801,96.39
12801,95.82
12801,95.78
13201,95.46
13201,95.05
13801,95.46
14201,95.17
14201,94.77
14201,94.69
14201,95.14
14201,94.27
14201,95.46
14201,95.46
14201,95.26
14201,94.64
14201,94.49
14201,94.58
14401,95.13
14801,95.38
15201,95.46
15201,95.46
15401,95.46
15801,95.46
16001,95.31
16001,94.95
16001,94.43
16001,94.23
16001,94.54
16001,95.31
16001,95.14
16001,94.01
16001,93.68
16201,93.27
16401,93.26
16801,93.51
16801,92.45
16801,92.45
16801,93.24
16801,93.09
16801,92.80
16801,92.83
17001,93.48
17001,94.48
17001,95.46
17001,95.49
17001,102.14
17001,102.10
17001,103.53
17001,103.38
17001,103.35
17001,92.23
17001,103.29
17001,97.77
17001,102.10
17001,103.24
17001,95.46
17001,97.46
17001,97.58
17001,97.39
17001,97.40
17001,93.51
17001,93.63
17001,93.70
17001,97.27
17001,97.17
17001,96.96
17001,97.08
17001,96.30
17001,96.73
17001,96.73
17001,96.31
17001,96.17
17001,92.83
17001,95.84
17001,96.07
17001,96.16
17001,96.16
17001,96.05
17001,95.89
17001,95.98
17001,95.83
17001,103.52
17001,95.69
17001,103.28
17001,102.91
17001,102.90
17001,95.52
17001,95.74
17001,95.83
17001,95.74
17001,95.56
17001,95.59
17001,102.44
17401,92.15
17801,91.78
18001,91.78
18001,91.76
18201,91.83
18201,92.50
18201,92.64
18201,92.27
18201,92.38
18201,92.45
18201,91.78
18801,91.93
18801,92.19
18801,93.30
18801,93.00
18801,92.01
18801,92.07
18801,92.11
19001,93.27
19001,91.93
19001,91.83
19001,91.78
