time,price
0,100.00
1001,100.75
1201,100.46
1801,100.44
2001,100.27
2201,100.06
2401,99.65
2401,99.65
2401,100.54
2401,100.93
2401,101.25
2401,101.37
2401,100.27
2801,101.22
2801,102.10
2801,101.84
3001,99.53
3001,99.33
3001,99.27
3001,99.48
3001,101.22
3001,101.22
3001,99.19
3201,99.30
3201,98.74
3201,98.49
3401,99.69
3401,99.77
3401,102.78
3601,102.20
3601,101.86
3801,101.45
3801,102.91
3801,101.56
3801,101.58
3801,102.88
5001,102.05
5001,102.39
5001,103.14
5001,103.21
5001,102.68
5001,103.77
5001,102.17
5001,102.31
5001,102.35
5001,103.22
5001,103.88
5001,103.63
5001,103.66
5201,104.25
5601,103.43
5601,102.05
5601,102.05
5601,102.05
5601,102.05
5601,99.17
5601,102.05
5601,102.05
5601,102.05
5601,104.08
5601,102.05
5601,102.04
5601,102.00
6201,99.81
6201,104.35
6201,104.81
6201,104.91
6201,104.49
6201,99.73
6201,99.86
6201,99.95
6201,104.08
6201,105.21
6201,105.23
7401,99.24
7401,99.24
7801,99.24
7801,99.24
8401,99.24
8401,99.24
8801,99.24
8801,99.24
9001,99.24
9401,99.44
9401,99.54
9401,99.58
9401,99.45
9401,100.27
9401,99.24
9401,99.28
9401,99.40
9401,100.29
9401,100.01
9401,100.60
9401,99.83
9401,99.88
9401,100.04
9401,100.17
9401,100.16
9401,99.64
9401,99.93
9401,99.94
9401,99.24
9401,99.24
9401,99.24
9401,98.48
9401,98.34
9401,98.37
9401,98.45
9401,98.44
9401,98.52
9401,99.02
9401,98.77
9401,98.56
9401,98.85
9401,98.60
9401,98.96
9401,98.90
9401,99.03
9401,99.24
9401,99.24
9401,99.24
9401,99.24
9401,99.24
9401,99.24
9401,99.66
9401,99.82
9401,99.17
9401,99.80
9401,99.58
9401,99.63
9401,99.62
9601,98.64
9801,98.29
10001,98.09
10201,98.81
10201,98.09
10201,98.40
10201,98.61
10201,98.38
10601,99.13
10801,98.71
11001,98.65
11201,98.54
11401,98.49
11401,98.38
11601,98.84
11601,99.20
12001,99.09
12001,98.22
12001,98.18
12001,98.09
12001,98.22
12001,98.29
12001,98.25
12001,97.81
12001,98.74
