time,bestAskPrice,bestAskVolume,askTotalVolume,bestBidPrice,bestBidVolume,bidTotalVolume,lastTradePrice
0,0.00,0,0,0.00,0,0,100.00
1,0.00,0,0,101.85,1,1,97.45
2,99.28,1,3,99.23,1,4,99.33
3,99.57,1,5,99.52,1,7,99.58
4,99.75,2,9,99.67,1,12,99.70
5,99.72,1,6,99.50,1,8,99.52
6,99.90,1,3,99.51,1,10,99.76
7,99.59,1,8,99.57,1,14,99.54
8,99.59,1,7,99.46,2,13,99.47
9,99.76,1,6,99.56,1,18,99.75
10,99.77,1,8,99.72,2,20,99.76
11,99.90,1,5,99.63,1,20,99.92
12,99.65,1,4,99.59,1,20,99.65
13,101.95,1,2,101.78,1,29,101.62
14,0.00,0,0,101.60,2,30,101.65
15,0.00,0,0,101.43,1,28,101.60
16,0.00,0,0,101.25,1,27,101.43
17,0.00,0,0,101.25,1,27,101.69
18,0.00,0,0,101.05,1,26,101.28
19,0.00,0,0,100.33,1,23,100.80
20,0.00,0,0,99.64,1,22,100.15
21,0.00,0,0,100.15,1,22,100.31
22,0.00,0,0,100.33,1,21,99.59
23,0.00,0,0,99.51,1,22,99.52
24,0.00,0,0,99.48,1,21,99.51
25,0.00,0,0,100.38,1,18,99.42
26,0.00,0,0,101.09,1,18,100.16
27,0.00,0,0,99.40,1,17,100.17
28,0.00,0,0,100.22,1,18,100.17
29,0.00,0,0,100.22,1,18,100.34
30,0.00,0,0,100.22,1,18,100.34
31,0.00,0,0,100.73,1,20,100.34
32,0.00,0,0,100.42,1,19,100.73
33,0.00,0,0,100.22,1,18,100.47
34,101.08,1,1,100.90,1,19,101.41
35,0.00,0,0,100.22,1,19,101.29
36,0.00,0,0,102.99,1,20,102.04
37,0.00,0,0,103.65,1,23,102.99
38,0.00,0,0,103.53,1,20,103.04
39,0.00,0,0,103.22,1,22,103.97
40,0.00,0,0,103.20,1,21,103.22
41,0.00,0,0,103.58,1,21,103.20
42,0.00,0,0,103.58,1,21,103.65
43,0.00,0,0,100.22,1,19,103.07
44,0.00,0,0,101.23,1,20,103.13
45,0.00,0,0,103.19,1,21,102.44
46,0.00,0,0,101.23,1,20,103.78
47,0.00,0,0,102.40,1,22,103.10
48,0.00,0,0,103.58,1,24,103.10
49,0.00,0,0,104.04,1,24,103.58
50,0.00,0,0,104.48,1,25,104.04
51,0.00,0,0,104.23,1,26,104.48
52,104.84,1,1,104.14,1,25,105.12
53,104.53,1,1,104.27,1,28,105.35
54,0.00,0,0,105.38,1,32,105.04
55,114.46,1,1,104.94,1,31,115.17
56,110.61,1,1,109.39,1,33,111.33
57,0.00,0,0,110.43,1,35,110.45
58,0.00,0,0,110.02,1,34,111.13
59,0.00,0,0,110.02,1,35,110.21
60,0.00,0,0,113.58,1,46,110.66
61,0.00,0,0,112.79,1,50,112.91
62,0.00,0,0,112.47,1,47,112.70
63,0.00,0,0,111.92,1,46,111.98
64,0.00,0,0,110.54,1,42,110.55
65,0.00,0,0,110.20,1,39,110.23
66,0.00,0,0,110.04,1,36,110.13
67,0.00,0,0,110.04,1,36,111.14
68,0.00,0,0,110.04,1,36,112.18
69,0.00,0,0,110.04,1,36,112.52
70,0.00,0,0,113.36,1,37,113.57
71,0.00,0,0,113.89,1,38,113.36
72,113.38,1,2,112.63,1,47,111.72
73,113.48,1,1,113.22,1,55,113.38
74,113.47,1,6,113.23,1,61,113.37
75,113.48,1,7,113.05,1,55,113.05
76,113.03,1,14,112.91,1,52,112.97
77,112.60,1,22,111.91,1,46,112.54
78,112.15,1,25,111.75,1,43,111.95
79,111.22,1,32,110.92,1,40,111.00
80,110.78,2,35,110.76,1,40,110.08
81,110.22,1,39,110.04,1,39,110.25
82,110.13,1,43,109.94,1,37,110.11
83,110.27,1,42,110.21,1,35,110.22
84,109.72,1,43,109.06,1,32,109.39
85,108.54,1,47,108.41,1,36,108.28
86,108.88,1,47,108.60,1,36,109.19
87,108.93,1,49,108.51,1,38,108.64
88,109.15,1,47,108.63,1,43,109.06
89,109.36,1,45,108.93,1,44,109.29
90,108.93,1,48,108.67,1,46,108.82
91,108.84,1,49,108.51,1,41,108.83
92,108.62,1,54,108.46,1,42,108.58
93,108.79,2,53,108.78,1,42,108.44
94,108.59,1,56,108.50,1,42,108.79
95,108.81,1,56,108.31,1,40,108.79
96,108.67,1,58,108.41,1,44,108.65
97,108.84,2,57,108.47,1,46,108.67
98,108.58,1,60,108.25,1,41,108.30
99,108.39,1,63,108.12,1,36,107.99
100,107.71,1,72,107.70,1,36,107.70
101,107.71,1,75,107.43,1,36,107.68
102,107.82,1,74,107.68,1,39,107.74
103,107.78,1,77,107.41,1,40,107.43
104,107.62,1,79,107.47,1,40,107.51
105,107.40,1,84,107.28,1,37,107.37
106,107.47,1,88,107.29,1,37,107.40
107,107.46,2,89,107.29,1,38,107.55
108,107.30,1,89,106.94,1,33,107.12
109,107.36,1,96,107.26,1,33,107.43
110,107.38,2,97,107.18,1,36,107.24
111,107.05,1,98,106.88,1,35,107.38
112,106.91,1,101,106.86,1,40,106.79
113,106.79,1,105,106.73,1,45,106.77
114,107.02,2,101,106.92,1,44,106.96
115,106.69,1,106,106.62,1,43,106.73
116,107.06,1,103,107.02,1,45,107.05
117,107.29,3,103,106.99,1,46,107.12
118,107.19,1,102,106.82,1,43,106.83
119,107.12,1,105,107.08,1,45,107.17
120,107.24,1,105,107.13,1,49,107.24
121,107.40,1,102,107.34,1,50,107.50
122,106.97,1,106,106.85,1,48,106.96
123,107.09,1,106,106.89,1,49,106.89
124,107.03,1,111,106.89,1,55,106.97
125,107.09,1,111,106.82,1,55,106.87
126,107.10,1,113,106.84,1,57,106.94
127,107.13,2,112,106.77,1,57,106.91
128,107.14,1,110,106.93,1,59,106.97
129,107.18,1,109,107.00,1,61,107.09
130,107.27,1,108,107.00,1,62,107.23
131,107.20,1,110,106.98,1,64,107.06
132,107.15,1,112,107.00,1,66,106.98
133,107.17,1,111,106.93,2,67,107.15
134,106.96,1,119,106.89,1,64,107.03
135,107.03,1,123,106.85,1,64,106.87
136,106.85,2,127,106.75,2,58,106.80
137,106.73,1,128,106.73,2,55,106.82
138,106.72,1,133,106.60,3,51,106.66
139,106.69,1,135,106.60,1,52,106.63
140,106.74,1,136,106.56,1,51,106.57
141,106.88,1,134,106.73,1,53,106.84
142,106.69,1,137,106.51,2,51,106.51
143,106.54,1,146,106.40,1,46,106.50
144,106.40,1,153,106.36,1,46,106.37
145,106.40,2,155,106.29,1,41,106.29
146,106.52,4,157,106.24,1,39,106.29
147,106.52,4,157,106.11,1,38,106.29
148,106.24,1,161,106.07,1,38,106.08
149,106.13,1,164,106.00,1,37,106.13
150,106.13,1,166,106.00,1,36,106.08
151,106.13,1,167,106.06,2,36,106.10
152,106.42,1,162,106.28,1,41,106.29
153,106.52,3,162,106.28,1,44,106.52
154,106.54,4,164,106.29,1,44,106.54
155,106.56,1,163,106.42,1,49,106.54
156,106.62,1,162,106.52,1,51,106.61
157,106.25,1,165,106.13,1,48,106.14
158,106.36,1,166,106.12,2,48,106.24
159,106.33,1,168,106.12,2,48,106.28
160,106.35,1,170,106.19,1,47,106.24
161,106.25,1,172,106.14,1,47,106.36
162,106.38,1,172,106.26,1,49,106.35
163,106.42,1,172,106.37,2,56,106.39
164,106.50,1,169,106.46,1,60,106.51
165,106.50,1,169,106.44,1,64,106.49
166,106.63,1,167,106.51,1,69,106.63
167,106.62,1,171,106.49,1,68,106.60
168,106.39,1,178,106.34,1,60,106.35
169,106.31,1,183,106.21,1,56,106.23
170,106.09,1,187,106.06,1,46,106.06
171,106.12,1,190,106.08,1,43,106.07
172,105.90,1,195,105.83,1,39,105.95
173,105.76,2,206,105.44,1,34,105.58
174,105.24,1,212,104.76,1,29,104.82
175,104.18,1,219,104.14,1,27,104.16
176,104.18,1,220,103.86,1,24,103.87
177,104.19,1,226,104.13,1,29,104.15
178,104.32,1,227,104.02,1,28,104.16
179,104.39,1,226,104.05,1,26,104.29
180,104.41,1,225,103.95,1,24,104.22
181,103.51,1,229,103.43,1,24,103.64
182,103.77,1,231,103.55,1,28,103.79
183,103.78,1,235,103.37,1,25,103.60
184,103.87,1,234,103.57,1,27,103.61
185,103.85,1,238,103.71,1,29,103.76
186,103.85,1,234,103.77,1,31,103.97
187,103.67,1,238,103.57,1,32,103.63
188,103.81,1,238,103.41,1,30,103.76
189,103.30,1,240,102.11,1,21,102.40
190,102.36,1,244,101.66,1,21,102.14
191,101.86,2,250,101.45,1,21,101.45
192,101.23,1,261,101.21,1,20,101.21
193,101.26,1,263,100.84,1,20,101.24
194,100.95,1,268,100.87,1,23,100.27
195,100.75,1,272,100.52,1,21,100.72
196,100.67,1,274,100.22,1,19,100.30
197,100.71,1,274,100.26,1,20,100.53
198,100.03,1,278,99.40,1,17,99.92
199,100.09,1,278,99.73,1,20,99.90
200,100.22,1,276,100.18,2,24,100.22
201,100.02,1,278,100.00,1,25,100.02
202,100.23,1,279,99.98,1,28,100.13
203,100.40,1,278,100.15,1,33,100.18
204,100.59,1,278,100.27,1,35,100.56
205,100.39,1,281,100.35,1,36,100.35
206,100.43,1,282,100.22,1,34,100.42
207,100.59,1,283,100.29,1,38,100.38
208,100.42,1,282,100.32,1,38,100.35
209,100.48,1,280,100.19,1,37,100.39
210,100.11,1,283,100.04,1,32,100.04
211,100.38,1,285,100.07,1,30,99.97
212,100.38,1,286,100.06,1,31,100.34
213,100.41,1,286,99.87,1,27,100.01
214,99.85,1,289,99.71,1,27,99.73
215,99.98,1,287,99.86,1,27,99.91
216,100.85,1,276,100.70,1,35,100.84
217,101.10,1,266,100.80,1,42,100.92
218,101.63,1,258,101.42,1,46,101.45
219,101.86,2,253,101.70,1,53,101.81
220,102.36,1,245,101.91,1,59,102.17
221,102.88,2,242,102.43,1,62,102.82
222,103.30,1,240,102.43,1,62,102.61
223,103.60,1,239,103.34,1,70,103.56
224,103.98,3,236,103.89,1,78,103.84
225,104.40,1,228,104.08,1,80,104.17
226,104.20,1,229,103.94,1,83,104.08
227,104.51,1,224,104.10,1,84,104.50
228,104.58,1,221,104.29,1,85,104.58
229,104.73,1,219,104.57,1,88,104.72
230,104.60,1,221,104.48,1,86,104.29
231,104.79,1,218,104.39,1,88,104.53
232,103.95,1,226,103.86,1,79,103.88
233,103.76,1,231,103.13,1,69,103.30
234,103.05,1,238,102.86,1,64,102.93
235,102.23,1,245,101.96,1,60,101.96
236,101.44,2,257,101.20,1,48,101.22
237,101.03,1,261,100.74,1,41,100.80
238,100.78,1,266,100.62,1,37,100.65
239,100.42,1,270,100.17,1,31,100.72
240,99.82,1,277,99.52,1,23,99.60
241,99.41,1,282,99.29,1,17,99.32
242,99.31,1,285,99.21,1,12,99.23
243,99.24,1,288,99.07,1,11,99.15
244,99.12,1,292,98.93,1,9,99.13
245,99.07,1,297,98.91,1,9,99.02
246,99.15,1,295,98.42,2,5,98.74
247,99.43,1,291,98.70,1,7,98.93
248,99.68,1,282,99.58,1,15,99.66
249,99.87,1,276,99.46,1,17,99.84
250,100.42,1,270,100.29,1,26,100.19
251,101.00,1,266,100.82,1,29,100.91
252,100.83,1,269,100.78,1,32,100.80
253,101.15,1,265,100.60,1,32,100.83
254,101.24,1,264,100.50,1,31,100.87
255,100.72,1,267,100.68,1,37,100.69
256,101.23,1,266,101.11,1,40,100.87
257,101.31,1,262,101.08,1,43,101.19
258,101.35,3,265,101.20,1,44,101.30
259,101.24,1,265,101.08,1,45,101.21
260,101.34,1,265,101.16,1,47,101.31
261,101.40,1,265,101.33,1,50,101.34
262,101.42,1,262,100.79,1,45,101.41
263,101.59,1,259,101.28,1,47,100.87
264,101.69,2,258,101.58,1,54,101.60
265,101.73,1,257,101.72,1,62,101.79
266,101.90,1,254,101.82,1,64,101.63
267,101.97,1,253,101.62,1,65,101.80
268,101.97,1,254,101.95,1,71,101.68
269,102.22,1,250,101.83,1,71,102.19
270,102.07,1,251,101.73,1,74,101.97
271,101.57,1,257,101.53,2,65,101.54
272,101.57,2,264,101.55,1,59,101.43
273,101.33,1,276,101.23,1,53,101.26
274,100.94,1,287,100.82,1,47,100.88
275,100.79,1,292,100.74,1,43,100.77
276,100.80,1,295,100.74,1,37,100.57
277,100.57,1,306,100.39,1,31,100.52
278,100.49,1,309,99.99,1,24,100.29
279,100.11,1,316,99.81,1,21,100.03
280,99.57,1,326,99.51,1,19,99.48
281,99.81,1,324,99.31,1,16,99.48
282,99.41,1,326,99.26,1,14,99.29
283,99.26,1,328,99.02,1,11,99.14
284,99.06,1,332,98.88,1,12,98.96
285,98.97,1,339,98.87,1,13,98.96
286,98.96,1,339,98.67,1,13,98.94
287,99.00,1,339,98.80,1,16,98.81
288,99.04,1,339,98.90,1,14,98.83
289,98.97,1,342,98.87,1,16,98.89
290,98.92,1,345,98.58,2,12,98.60
291,99.06,1,342,99.04,1,19,99.05
292,99.12,1,342,98.99,1,21,99.10
293,99.15,1,341,98.79,1,20,99.16
294,99.17,1,342,98.86,1,19,98.98
295,98.91,1,341,98.71,1,16,98.75
296,99.03,1,340,98.92,1,17,99.26
297,99.10,1,342,98.85,1,16,98.94
298,99.01,1,342,98.73,1,17,98.69
299,98.74,1,349,98.73,1,21,98.85
300,98.82,1,350,98.81,1,24,98.60
301,98.86,1,353,98.75,1,25,98.84
302,98.69,1,354,98.67,1,27,98.96
303,98.97,1,352,98.58,1,25,98.73
304,98.97,1,354,98.39,2,21,98.87
305,98.80,1,357,98.71,1,25,98.82
306,99.00,1,356,98.95,1,26,99.00
307,98.96,1,358,98.39,2,23,98.41
308,98.87,1,360,98.76,1,28,98.82
309,99.05,1,358,98.38,2,22,98.88
310,99.05,2,360,98.35,1,22,98.58
311,98.51,1,361,98.42,1,22,98.62
312,98.72,2,361,98.54,1,18,98.61
313,98.33,1,370,98.16,1,10,98.18
314,98.18,1,377,0.00,0,0,98.11
315,98.45,1,371,0.00,0,0,98.36
316,98.10,1,371,0.00,0,0,98.45
317,97.80,1,371,0.00,0,0,97.57
318,97.60,1,369,0.00,0,0,98.23
319,98.18,1,375,0.00,0,0,98.08
320,98.20,1,374,0.00,0,0,97.39
321,98.41,1,371,0.00,0,0,98.35
322,98.50,1,369,0.00,0,0,98.42
323,98.61,1,365,0.00,0,0,98.57
324,98.49,1,366,0.00,0,0,97.93
325,98.72,1,361,0.00,0,0,98.72
326,99.07,1,358,0.00,0,0,99.05
327,99.08,1,357,0.00,0,0,98.61
328,99.10,1,357,0.00,0,0,99.08
329,99.19,2,353,0.00,0,0,99.19
330,99.28,1,347,0.00,0,0,99.26
331,99.31,1,344,0.00,0,0,99.31
332,99.35,1,340,0.00,0,0,99.06
333,99.42,1,336,0.00,0,0,99.42
334,99.51,1,330,0.00,0,0,99.51
335,98.69,1,333,0.00,0,0,98.50
336,99.54,2,330,0.00,0,0,98.76
337,99.71,1,326,0.00,0,0,99.61
338,99.81,1,324,0.00,0,0,99.02
339,99.93,1,320,0.00,0,0,99.89
340,100.18,1,317,0.00,0,0,100.14
341,100.39,1,314,0.00,0,0,100.31
342,100.46,1,312,0.00,0,0,99.75
343,99.32,1,313,0.00,0,0,98.81
344,100.67,2,306,0.00,0,0,100.58
345,100.67,2,306,0.00,0,0,100.27
346,100.80,1,301,0.00,0,0,100.78
347,99.42,1,302,0.00,0,0,100.21
348,99.42,1,304,0.00,0,0,100.21
349,100.80,1,301,0.00,0,0,99.08
350,100.82,1,298,0.00,0,0,100.81
